file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough-fuse-1-1048576-262144.txt,,,,0.000870,1033.49,passthrough,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.000571,1376.05,passthrough,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.001180,1611.18,passthrough,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.000851,1979.46,passthrough,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.000661,1210.43,passthrough,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.000627,1207.11,passthrough,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.001103,1700.50,passthrough,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.001347,1236.46,passthrough,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000199,4641,passthrough,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000108,8964,passthrough,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.000315,6222,passthrough,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.000256,7715,passthrough,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000138,7011,passthrough,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000137,7005,passthrough,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000232,8504,passthrough,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000327,6026,passthrough,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-262144.txt,,,,0.001175,785.13,passthrough,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.000788,1135.55,passthrough,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.001632,1155.76,passthrough,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.001762,1058.54,passthrough,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.000916,907.90,passthrough,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.001121,790.36,passthrough,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.001433,1316.39,passthrough,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.002104,897.88,passthrough,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000321,2987.35,passthrough,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000200,4740,passthrough,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.000535,3658,passthrough,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.000472,4127,passthrough,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000245,3897,passthrough,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000277,3439.62,passthrough,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000360,5402,passthrough,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000645,2989.42,passthrough,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
